Latitude [°],Longitude [°],Was cleaned,Access type,Distance from the road [m],Location type,Waste area [m²],Waste volume [m³],Organic waste [%],Construction waste [%],Mixed/non-recyclable waste [%],Bulky waste [%],Tires [%],Motor vehicles [%],Hazardous/toxic waste [%],Asbestos panels [%],Barrels with hazardous/unknown liquid,Waste partially buried?,Importance assessment,IRSOP,Duty of Slovenia Forest Service,Entry creation date,Last modification date,Geopedia URL,ID,Name,Description/quantity of hazardous waste,Municipality,Land registry property ID
continuous,continuous,0 1,Inaccessible Off-road On\ foot Private\ car Unsafe\ access,continuous,Basin Plane Slope,continuous,continuous,0 1 2 3 4 5 6 8 9 10 14 15 16 18 19 20 25 27 30 33 34 35 37 38 40 43 44 45 47 48 49 50 53 54 55 58 59 60 62 65 66 67 68 70 73 74 75 78 79 80 83 84 85 88 90 92 93 94 95 96 97 98 99 100,continuous,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 23 25 29 30 33 34 35 38 40 43 45 48 49 50 53 55 59 60 61 62 65 68 69 70 73 75 77 80 83 84 85 89 90 93 94 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 11 12 15 17 18 19 20 22 23 24 25 29 30 33 34 35 38 39 40 44 45 49 50 54 55 59 60 63 65 66 67 69 70 71 72 74 75 77 78 79 80 82 84 85 89 90 92 93 94 95 96 98 99 100,0 1 2 3 4 5 7 10 11 15 20 25 30 40 50 60 65 70 75 80 90 95 100,0 1 5 10 15 20 25 30 35 40 50 60 70 75 80 85 90 95 98 99 100,0 1 2 3 4 5 6 7 8 9 10 12 13 14 15 17 18 19 20 23 25 30 33 35 37 40 45 49 50 55 57 60 65 67 69 70 75 80 85 90 93 94 95 99 100,0 1 2 3 4 5 6 8 10 12 15 20 23 25 30 33 35 40 50 55 60 67 70 75 80 85 90 95 98 99 100,0 1,0 1,continuous,Celje Koper Kranj Ljubljana Maribor Murska\ Sobota Nova\ Gorica Novo\ Mesto Novo\ mesto,0 1,time,time,string,continuous,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,meta,meta,meta,meta,meta,meta
45.5820608282,13.7292666692,0,Private car,10.0,Plane,50.0,50.0,,80.0,,20,,,,,0,0,7.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F83,83.0,,Odlagališče pri nekdanji izolirnici bolnice Valdoltre oz. pri igrišču vValdoltri.,Koper,1695-848
45.5843974684,13.7233575067,0,Private car,10.0,Slope,6.0,10.0,,,,100,,,,,0,0,4.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F84,84.0,,Pod taborniško površino se nahaja zapuščen osebni avtomobil.,Koper,1695-896/1
46.2096189664,15.6401034968,1,Private car,10.0,Plane,90.0,25.0,,,50,50,,,,,0,0,7.0,Celje,0,2010-03-28,2012-03-19,http://www.geopedia.si/?params=T1199_L6357_F85,85.0,,,Rogaška Slatina,1811-561
46.5634252084,15.5863522142,0,Private car,1500.0,Plane,200.0,1000.0,,60.0,30,10,,,,,0,0,67.0,Maribor,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F87,87.0,,,Maribor,2407-161/8
45.8028862369,14.1137288441,0,Private car,5.0,Plane,200.0,500.0,70,20.0,,10,,,,,0,0,24.0,Koper,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F91,91.0,,,Postojna,666-2847/66
45.5952529729,13.7398893624,0,Off-road,500.0,Plane,6.0,10.0,,,,,,,100,,0,0,8.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F92,92.0,,Nad mejnim prehodom Lazaret se ob trtah nahaja zapuščen avtomobil znamkeRenault 4 (rdeče barve).,Koper,2030-2022/4
46.0381335548,14.6296326545,0,Private car,0.0,Plane,5.0,2.0,,,,,,,,100,0,0,4.0,Ljubljana,0,2010-04-18,2011-09-15,http://www.geopedia.si/?params=T1199_L6357_F93,93.0,,salonitke,Ljubljana,1961-613
45.5906378384,13.7205502072,0,Private car,10.0,Plane,100.0,100.0,,40.0,30,30,,,,,0,0,12.0,Koper,0,2010-03-28,2011-02-04,http://www.geopedia.si/?params=T1199_L6357_F94,94.0,,Vhod v nekdanjo deponijo Komunale. Smeti so razmetane po večji površini.,Koper,2030-1787/3
45.5728830104,13.7423116639,0,Off-road,500.0,Plane,20.0,25.0,,,,,,,,100,0,1,14.0,Koper,0,2010-03-28,2014-04-17,http://www.geopedia.si/?params=T1199_L6357_F95,95.0,,"Nahaja se ob obali Ankarana (med Sv. Katarino in Adrijo Ankaran). Natančnejeje to Katastrska občina Oltra, parcela št. 1358. Tu, na območju Nature 2000 setorej nahajajo 20 cm pod zemljo (oz. mivko) azbestne plošče (ternit). Natančneprostornine in površine ne moremo določiti, ker so po površino.",Koper,1695-1358
45.8214602428,14.1198559029,0,Private car,3.0,Slope,150.0,100.0,10,5.0,25,60,,,,,0,0,16.0,Koper,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F96,96.0,,,Postojna,664-1576/1
45.6707410303,14.5263449216,1,Private car,5.0,Basin,500.0,10.0,10,10.0,70,10,,,,,0,0,5.0,Ljubljana,0,2010-03-28,2012-02-20,http://www.geopedia.si/?params=T1199_L6357_F184,184.0,,"gume, akumulator, plastenke,embalaža",Loška dolina,2391-1691/3
46.4839312281,15.972874696,1,Private car,30.0,Slope,15.0,25.0,,,,,,,,,0,0,,Maribor,0,2010-03-28,2011-10-17,http://www.geopedia.si/?params=T1199_L6357_F7754,7754.0,,,Juršinci,1555-591/1
45.8825068338,13.9134678142,0,Private car,3.0,Plane,50.0,100.0,,100.0,,,,,,,0,0,7.0,Nova Gorica,0,2010-04-18,2010-04-18,http://www.geopedia.si/?params=T1199_L6357_F102,102.0,,"Gradbeni odpadki, verjetno od rušenja stare hiše",Ajdovščina,1667-1405/2
